,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,,
cor,-0.03,0.98,0.97,0.98,0.97,0.00,0.00,-0.96,0.98,0.01,1.00,0.70,0.00,0.00,0.87,0.90,0.86,0.01,0.00,0.96,0.00,0.02,0.00,0.82,0.90,0.00,0.08,0.08,0.76,0.00,0.00,0.00,0.99,0.99,0.04,0.04,0.00,0.00,0.66,0.00,0.92,0.96,0.00,0.66,0.67,0.94,0.93,0.97,0.88,0.83,0.88,0.95,0.99,0.91,0.06,0.33,-0.13,0.37,0.79,-0.90,-0.89,-0.96,0.60,0.96,0.61,0.66,0.66,0.06,-0.10,0.88,0.00,0.89,0.87,0.98,0.00,0.00,0.00,#VALUE!,0.96,0.00,0.00,0.00,#VALUE!,0.94,0.56,0.99,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.95,-0.09,0.35,0.35,0.88,0.00,0.97,0.85,0.89,0.96,0.00,0.83,,
consolinc,-0.02,0.58,0.56,0.69,0.55,0.00,0.00,-0.71,0.73,0.01,0.70,1.00,0.00,0.00,0.31,0.36,0.30,0.00,0.01,0.60,0.00,0.01,0.00,0.98,0.93,0.00,0.09,0.10,0.99,0.00,0.00,0.00,0.69,0.65,0.04,0.05,0.00,0.00,0.81,0.00,0.50,0.84,0.00,0.40,0.03,0.47,0.46,0.64,0.70,0.54,0.77,0.49,0.69,0.40,0.07,0.64,-0.11,0.52,0.47,-0.76,-0.79,-0.72,0.45,0.82,0.03,1.00,1.00,0.09,-0.01,0.36,0.00,0.40,0.95,0.71,0.00,0.00,0.00,#VALUE!,0.53,0.00,0.00,0.00,#VALUE!,0.77,0.95,0.76,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.62,-0.05,0.25,0.25,0.84,0.00,0.58,0.26,0.94,0.62,0.00,0.60,,
currentratio,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,#VALUE!,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
de,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.24,0.00,#VALUE!,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
debt,0.00,0.95,0.96,0.88,0.96,-0.01,0.00,-0.79,0.86,0.03,0.87,0.31,0.00,0.00,1.00,0.98,1.00,0.04,0.00,0.93,0.02,0.01,0.00,0.49,0.64,0.00,0.05,0.05,0.40,0.00,0.00,0.00,0.88,0.90,0.04,0.05,-0.01,0.00,0.47,0.00,0.90,0.72,0.00,0.54,0.93,0.98,0.99,0.87,0.74,0.87,0.63,0.98,0.88,0.99,0.04,0.15,-0.06,0.13,0.70,-0.67,-0.68,-0.81,0.57,0.77,0.68,0.26,0.26,0.03,-0.04,0.99,0.00,0.87,0.56,0.83,0.00,0.00,0.00,#VALUE!,0.96,0.00,0.00,0.00,#VALUE!,0.76,0.42,0.82,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.81,-0.07,0.32,0.32,0.81,0.00,0.95,0.97,0.61,0.88,0.00,0.80,,
debtc,0.00,0.95,0.96,0.90,0.96,-0.01,0.00,-0.82,0.87,0.04,0.90,0.36,0.00,0.00,0.98,1.00,0.97,0.08,0.00,0.92,0.00,0.02,0.00,0.54,0.67,0.00,0.06,0.05,0.45,0.00,0.00,0.00,0.90,0.92,0.06,0.05,0.00,0.00,0.46,0.00,0.91,0.76,0.00,0.63,0.87,0.97,0.97,0.91,0.81,0.86,0.66,0.97,0.91,0.98,0.04,0.12,-0.14,0.17,0.80,-0.75,-0.74,-0.81,0.66,0.78,0.69,0.32,0.32,0.03,-0.07,0.97,0.00,0.89,0.61,0.87,0.00,0.00,0.00,#VALUE!,0.96,0.00,0.00,0.00,#VALUE!,0.79,0.38,0.85,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.86,-0.08,0.34,0.34,0.82,0.00,0.95,0.96,0.65,0.90,0.00,0.78,,
debtnc,0.00,0.94,0.95,0.88,0.95,-0.01,0.00,-0.78,0.85,0.03,0.86,0.30,0.00,0.00,1.00,0.97,1.00,0.07,0.00,0.93,0.00,0.02,0.00,0.49,0.63,0.00,0.05,0.04,0.39,0.00,0.00,0.00,0.87,0.90,0.05,0.04,0.00,0.00,0.47,0.00,0.90,0.71,0.00,0.53,0.94,0.98,0.98,0.87,0.78,0.87,0.63,0.98,0.87,0.99,0.04,0.15,-0.05,0.12,0.69,-0.66,-0.67,-0.81,0.56,0.76,0.67,0.25,0.25,0.02,-0.04,0.98,0.00,0.87,0.56,0.82,0.00,0.00,0.00,#VALUE!,0.96,0.00,0.00,0.00,#VALUE!,0.75,0.44,0.81,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.07,0.31,0.31,0.84,0.00,0.94,0.96,0.61,0.88,0.00,0.80,,
debtusd,-0.03,0.04,0.04,0.07,0.07,-0.05,0.00,-0.01,0.05,0.72,0.01,0.00,-0.01,0.02,0.04,0.08,0.07,1.00,0.03,0.01,0.60,0.01,0.00,0.01,0.01,0.01,0.24,0.23,0.00,0.00,0.00,0.00,0.01,0.01,0.55,0.80,-0.33,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.01,0.04,0.04,0.01,0.32,0.07,0.06,0.06,0.07,0.07,0.26,0.00,-0.01,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.01,0.00,0.00,0.00,0.21,-0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,#VALUE!,0.01,0.11,0.00,0.00,#VALUE!,0.01,0.02,0.01,0.25,0.00,0.00,0.00,0.00,0.01,0.03,0.02,-0.04,0.17,0.17,0.28,0.00,0.04,0.01,0.01,0.01,0.00,0.05,,
deferredrev,0.01,0.01,0.01,0.02,0.01,-0.02,0.00,-0.01,0.04,0.14,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,1.00,0.02,0.02,0.01,0.00,0.01,0.01,0.00,0.47,0.40,0.01,0.00,0.00,0.00,0.02,0.02,0.39,0.24,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.01,0.02,0.00,0.41,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.01,-0.02,0.01,0.00,0.01,0.01,0.42,0.00,0.00,0.00,0.04,0.00,0.02,0.00,0.00,0.00,#VALUE!,0.01,0.01,0.00,0.00,#VALUE!,0.01,0.02,0.01,0.33,0.01,0.00,0.00,0.00,0.00,0.17,0.02,-0.04,0.20,0.20,0.18,0.00,0.01,0.00,0.00,0.00,0.00,0.01,,
depamor,-0.04,0.99,0.99,0.98,0.99,0.00,0.00,-0.93,0.97,0.01,0.96,0.60,0.00,0.00,0.93,0.92,0.93,0.01,0.02,1.00,0.00,0.02,0.00,0.75,0.85,0.00,0.09,0.08,0.67,0.00,0.00,0.00,0.98,0.98,0.05,0.04,0.00,0.00,0.68,0.00,0.92,0.90,0.00,0.56,0.78,0.98,0.98,0.93,0.84,0.88,0.80,0.98,0.97,0.96,0.06,0.35,-0.07,0.31,0.71,-0.82,-0.84,-0.95,0.57,0.94,0.61,0.55,0.55,0.06,0.00,0.94,0.00,0.89,0.81,0.92,0.00,0.00,0.00,#VALUE!,0.98,0.00,0.00,0.00,#VALUE!,0.91,0.88,0.95,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.90,-0.08,0.36,0.36,0.88,0.00,0.99,0.90,0.83,0.95,0.00,0.90,,
